Cell_ID,Cell_class_id,Cell_class,Cell_class_name
d01881b0-1ff8-440e-98d4-de38a82ff140,7,OD Mature 2,OD Mature
e8e75164-75e7-4b96-8e98-5091cb4e22f5,7,OD Mature 2,OD Mature
e59be147-1aff-4d41-9116-7067b40b9d77,3,Excitatory,Excitatory
1c9d5209-27fa-4158-8bd5-17cf50a5bbda,7,OD Mature 1,OD Mature
ef88270c-c36e-4071-a3e4-d60fb1ce76b3,3,Excitatory,Excitatory
baec53d0-aced-4d27-b9e5-254e58f06662,7,OD Mature 1,OD Mature
556cfa7a-c5be-4aa2-b5ae-35447eeff84c,3,Excitatory,Excitatory
eb47868f-791b-4e86-a860-34633eeda12b,7,OD Mature 2,OD Mature
b8e2aca5-f390-4c4e-8a5b-fca4a144eb6e,3,Excitatory,Excitatory
9fd49121-246f-4ce4-985c-835f338db630,3,Excitatory,Excitatory
2fd74cbd-bb58-4a26-8cab-d33ac9292540,4,Inhibitory,Inhibitory
d153065e-cf9a-424e-971d-0f6f65f1bb6f,7,OD Mature 2,OD Mature
948bd7df-5202-4715-9ebe-bba0e93ccf03,3,Excitatory,Excitatory
365d79d9-bf1f-4bed-8845-027c6bf8ae16,7,OD Mature 4,OD Mature
4cd95e21-d749-4bb9-8df4-b2e151d0224b,7,OD Mature 2,OD Mature
0f3409d8-4575-4fe2-9638-dfac295c7277,0,Astrocyte,Astrocyte
99af3ffb-edd2-4fec-afe2-5687bddb107f,3,Excitatory,Excitatory
346a6064-c32f-4588-b104-26f7c3a8cc9e,1,Endothelial 1,Endothelial
6d85f778-9208-4aec-8aca-b8a7ff51352a,3,Excitatory,Excitatory
6099d7c8-6ff6-46bc-8aad-ab1b94da3e34,3,Excitatory,Excitatory
76af90af-ed38-45cb-8e5d-f0cd0cd51146,5,Microglia,Microglia
3027fb9e-4c77-4247-a16f-2381a82d5f77,3,Excitatory,Excitatory
7f85c865-a0bc-4bd5-a5da-102f03ee11e0,1,Endothelial 3,Endothelial
cf6d585e-906b-4dcd-9d72-0f4648c39e2b,3,Excitatory,Excitatory
6ae90f23-441c-4218-b11f-3b19a51f9060,1,Endothelial 3,Endothelial
d2a63393-6152-4ff0-aaf6-598664c03645,1,Endothelial 1,Endothelial
76e73248-514f-4bdb-9cf3-de0934048f6f,3,Excitatory,Excitatory
80008ef6-822a-44bd-99bb-5d3ee16f5d5a,3,Excitatory,Excitatory
29d9e24a-0820-4612-8aec-fb662e92ba87,3,Excitatory,Excitatory
868479ec-0b19-4305-b36e-d541b0314be6,0,Astrocyte,Astrocyte
29b5e3d2-d2c1-4e36-9621-b91397dbf0cd,4,Inhibitory,Inhibitory
be2c3461-e2bb-488c-8b8b-5252224d6a52,3,Excitatory,Excitatory
1bc9a14f-4762-4e73-a2f4-87650e347015,7,OD Mature 1,OD Mature
7889d66c-fe5d-477e-a8b4-88380c2735f8,1,Endothelial 1,Endothelial
0391d29a-1dfe-43c2-a050-e54575b80e92,3,Excitatory,Excitatory
f296ad1c-f3d2-4041-a4d3-ea7a66e93bee,4,Inhibitory,Inhibitory
c23a4783-7c5c-4fd9-b89d-f4af8cc014b0,4,Inhibitory,Inhibitory
bae5a346-2ba7-477d-8123-426d10d36be4,3,Excitatory,Excitatory
6d94e3ef-2e65-4a03-bcf5-6647de9bc9be,3,Excitatory,Excitatory
7b68f1b7-6ade-4d97-88b6-a8f6b034b380,3,Excitatory,Excitatory
a600b12f-7e6d-4a9c-a95c-13a85480d3bf,3,Excitatory,Excitatory
f7f52ca4-f5c6-40cb-8b94-7507418b26a2,3,Excitatory,Excitatory
2ad989dd-37ee-4ed5-88ef-ed7824d88df1,0,Astrocyte,Astrocyte
3f4d079e-e2cc-4058-bd2e-4af925d26521,3,Excitatory,Excitatory
7a107f4b-aa12-48e0-9db6-355f57581b17,3,Excitatory,Excitatory
cc16602b-3018-4f66-a7c0-0a14e0b901fe,3,Excitatory,Excitatory
eddcabc1-a77d-48fa-9717-03f1c51223d8,0,Astrocyte,Astrocyte
7d8a3c7a-6f8d-4360-b3e5-4f7b60336961,3,Excitatory,Excitatory
2bf48f67-f26b-4047-9d75-40166cb813ba,3,Excitatory,Excitatory
7c176153-fa26-4b9b-9e4f-f55f5fa4b713,3,Excitatory,Excitatory
a52bf5c2-d849-4619-ab64-37f3cd6a1cdc,3,Excitatory,Excitatory
050f3b5d-8d25-4a06-8244-580fda12d594,1,Endothelial 3,Endothelial
0a830178-61c6-4efb-8852-32d0e58f6d81,3,Excitatory,Excitatory
a8ddb149-2b34-4525-a199-57898af919de,2,Ependymal,Ependymal
2a413cd6-1214-4ba6-94d2-4fd3df6c11b6,0,Astrocyte,Astrocyte
68f4df6f-12f1-423c-8664-beb104463214,2,Ependymal,Ependymal
d549cd3c-157f-4757-af33-220199070bbe,2,Ependymal,Ependymal
b2551152-85c6-411d-8283-a9cf5e80b0c9,2,Ependymal,Ependymal
de760947-b2be-47f1-b60b-6ca199c5be7f,2,Ependymal,Ependymal
e7413037-eb36-479f-a593-6950b42bd53c,2,Ependymal,Ependymal
afc779c5-4b55-4e77-aa21-0e4272f2e77d,2,Ependymal,Ependymal
a614239f-3820-46d7-a4f0-0163bd1ef455,0,Astrocyte,Astrocyte
18b2acfb-021b-4b5e-adec-de97d40e00e8,3,Excitatory,Excitatory
eb62cadc-ca4d-4650-9567-a2f775b3c100,3,Excitatory,Excitatory
af6aa232-a5bd-4ce2-b148-3b58298df2df,3,Excitatory,Excitatory
d68f4d0b-41db-4be5-874b-bb756d840a62,3,Excitatory,Excitatory
70692f34-9653-4aa9-89b3-d890932832b1,2,Ependymal,Ependymal
c7b90ef5-86a7-49f7-bd26-9be7a977ef67,3,Excitatory,Excitatory
77ca9abd-f558-4426-8202-46f144b623ce,1,Endothelial 3,Endothelial
47bfd36b-4a5b-4d42-84db-55d67bbe019b,5,Microglia,Microglia
114d6270-da06-4ad5-8d02-969d08188a47,0,Astrocyte,Astrocyte
57b91872-3845-4126-a770-f4a6cfe82cb3,3,Excitatory,Excitatory
d5defe65-9eb8-47da-b1b1-0f6d4974aa0b,3,Excitatory,Excitatory
5f644879-a18f-405e-909d-8cdebf91b37d,3,Excitatory,Excitatory
